lhs	rhs	rules	support	confidence	lift	count	oddsRatio	source	DiseaseName	Source	Found.identifier.Reactome	intended_target_entrez_gene_id	Entry.Uniprot	ReactomeID	Name	Species	URL	EvidenceCode	Parent.Name	Major	Minor
AR	D006528	{AR=1} => {MESH.D006528=1}	0.0776426566884939	0.984189723320158	1.47387179205592	498	34.9159180977543	MESH	Carcinoma, Hepatocellular	MESH	P10275	367	F1D8N5	R-HSA-5689880	Ub-specific processing proteases	Homo sapiens	https://reactome.org/PathwayBrowser/#/R-HSA-5689880	TAS	Deubiquitination	Metabolism of proteins	Post-translational protein modification
AR	D006528	{AR=1} => {MESH.D006528=1}	0.0776426566884939	0.984189723320158	1.47387179205592	498	34.9159180977543	MESH	Carcinoma, Hepatocellular	MESH	P10275	367	F1D8N5	R-HSA-3371497	HSP90 chaperone cycle for steroid hormone receptors (SHR)	Homo sapiens	https://reactome.org/PathwayBrowser/#/R-HSA-3371497	TAS	Cellular responses to stress	Cellular responses to external stimuli	Cellular responses to stress
AR	D006528	{AR=1} => {MESH.D006528=1}	0.0776426566884939	0.984189723320158	1.47387179205592	498	34.9159180977543	MESH	Carcinoma, Hepatocellular	MESH	P10275	367	P10275	R-HSA-383280	Nuclear Receptor transcription pathway	Homo sapiens	https://reactome.org/PathwayBrowser/#/R-HSA-383280	TAS	Generic Transcription Pathway	Gene expression (Transcription)	RNA Polymerase II Transcription
AR	D006528	{AR=1} => {MESH.D006528=1}	0.0776426566884939	0.984189723320158	1.47387179205592	498	34.9159180977543	MESH	Carcinoma, Hepatocellular	MESH	P10275	367	P10275	R-HSA-8940973	RUNX2 regulates osteoblast differentiation	Homo sapiens	https://reactome.org/PathwayBrowser/#/R-HSA-8940973	TAS	RUNX2 regulates bone development	Gene expression (Transcription)	RNA Polymerase II Transcription
AR	D006528	{AR=1} => {MESH.D006528=1}	0.0776426566884939	0.984189723320158	1.47387179205592	498	34.9159180977543	MESH	Carcinoma, Hepatocellular	MESH	P10275	367	F1D8N5	R-HSA-8940973	RUNX2 regulates osteoblast differentiation	Homo sapiens	https://reactome.org/PathwayBrowser/#/R-HSA-8940973	IEA	RUNX2 regulates bone development	Gene expression (Transcription)	RNA Polymerase II Transcription
AR	D006528	{AR=1} => {MESH.D006528=1}	0.0776426566884939	0.984189723320158	1.47387179205592	498	34.9159180977543	MESH	Carcinoma, Hepatocellular	MESH	P10275	367	P10275	R-HSA-5625886	Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3	Homo sapiens	https://reactome.org/PathwayBrowser/#/R-HSA-5625886	TAS	RHO GTPases activate PKNs	Signal Transduction	Signaling by Rho GTPases
AR	D006528	{AR=1} => {MESH.D006528=1}	0.0776426566884939	0.984189723320158	1.47387179205592	498	34.9159180977543	MESH	Carcinoma, Hepatocellular	MESH	P10275	367	F1D8N5	R-HSA-8940973	RUNX2 regulates osteoblast differentiation	Homo sapiens	https://reactome.org/PathwayBrowser/#/R-HSA-8940973	TAS	RUNX2 regulates bone development	Gene expression (Transcription)	RNA Polymerase II Transcription
AR	D006528	{AR=1} => {MESH.D006528=1}	0.0776426566884939	0.984189723320158	1.47387179205592	498	34.9159180977543	MESH	Carcinoma, Hepatocellular	MESH	P10275	367	P10275	R-HSA-8940973	RUNX2 regulates osteoblast differentiation	Homo sapiens	https://reactome.org/PathwayBrowser/#/R-HSA-8940973	IEA	RUNX2 regulates bone development	Gene expression (Transcription)	RNA Polymerase II Transcription
AR	D006528	{AR=1} => {MESH.D006528=1}	0.0776426566884939	0.984189723320158	1.47387179205592	498	34.9159180977543	MESH	Carcinoma, Hepatocellular	MESH	P10275	367	F1D8N5	R-HSA-383280	Nuclear Receptor transcription pathway	Homo sapiens	https://reactome.org/PathwayBrowser/#/R-HSA-383280	TAS	Generic Transcription Pathway	Gene expression (Transcription)	RNA Polymerase II Transcription
AR	D006528	{AR=1} => {MESH.D006528=1}	0.0776426566884939	0.984189723320158	1.47387179205592	498	34.9159180977543	MESH	Carcinoma, Hepatocellular	MESH	P10275	367	P10275	R-HSA-3371497	HSP90 chaperone cycle for steroid hormone receptors (SHR)	Homo sapiens	https://reactome.org/PathwayBrowser/#/R-HSA-3371497	TAS	Cellular responses to stress	Cellular responses to external stimuli	Cellular responses to stress
