lhs	rhs	rules	support	confidence	lift	count	oddsRatio	source	DiseaseName	Source	intended_target_entrez_gene_id	ReactomeID	Name	Species	URL	EvidenceCode	Parent.Name	Major	Minor
A2M	D006528	{A2M=1} => {MESH.D006528=1}	0.00685999376364203	0.977777777777778	1.46426959296443	44	22.1089879688604	MESH	Carcinoma, Hepatocellular	MESH	2	R-HSA-140837	Intrinsic Pathway of Fibrin Clot Formation	Homo sapiens	https://reactome.org/PathwayBrowser/#/R-HSA-140837	TAS	Formation of Fibrin Clot (Clotting Cascade)	Hemostasis	Formation of Fibrin Clot (Clotting Cascade)
A2M	D006528	{A2M=1} => {MESH.D006528=1}	0.00685999376364203	0.977777777777778	1.46426959296443	44	22.1089879688604	MESH	Carcinoma, Hepatocellular	MESH	2	R-HSA-1474228	Degradation of the extracellular matrix	Homo sapiens	https://reactome.org/PathwayBrowser/#/R-HSA-1474228	TAS	Extracellular matrix organization	Extracellular matrix organization	Extracellular matrix organization
A2M	D006528	{A2M=1} => {MESH.D006528=1}	0.00685999376364203	0.977777777777778	1.46426959296443	44	22.1089879688604	MESH	Carcinoma, Hepatocellular	MESH	2	R-HSA-194840	Rho GTPase cycle	Homo sapiens	https://reactome.org/PathwayBrowser/#/R-HSA-194840	TAS	Signaling by Rho GTPases	Signal Transduction	Signaling by Rho GTPases
A2M	D006528	{A2M=1} => {MESH.D006528=1}	0.00685999376364203	0.977777777777778	1.46426959296443	44	22.1089879688604	MESH	Carcinoma, Hepatocellular	MESH	2	R-HSA-114608	Platelet degranulation	Homo sapiens	https://reactome.org/PathwayBrowser/#/R-HSA-114608	TAS	Response to elevated platelet cytosolic Ca2+	Hemostasis	Platelet activation, signaling and aggregation
A2M	D006528	{A2M=1} => {MESH.D006528=1}	0.00685999376364203	0.977777777777778	1.46426959296443	44	22.1089879688604	MESH	Carcinoma, Hepatocellular	MESH	2	R-HSA-8963896	HDL assembly	Homo sapiens	https://reactome.org/PathwayBrowser/#/R-HSA-8963896	TAS	Plasma lipoprotein assembly	Transport of small molecules	Plasma lipoprotein assembly, remodeling, and clearance
ABCB1	D006528	{ABCB1=1} => {MESH.D006528=1}	0.0598690364826941	0.984615384615385	1.47450924046768	384	34.8807386509365	MESH	Carcinoma, Hepatocellular	MESH	5243	R-HSA-2161517	Abacavir transmembrane transport	Homo sapiens	https://reactome.org/PathwayBrowser/#/R-HSA-2161517	IEA	Abacavir transport and metabolism	Metabolism	Abacavir transport and metabolism
ABCB1	D006528	{ABCB1=1} => {MESH.D006528=1}	0.0598690364826941	0.984615384615385	1.47450924046768	384	34.8807386509365	MESH	Carcinoma, Hepatocellular	MESH	5243	R-HSA-382556	ABC-family proteins mediated transport	Homo sapiens	https://reactome.org/PathwayBrowser/#/R-HSA-382556	TAS	Transport of small molecules	Transport of small molecules	Transport of small molecules
ACACA	D006528	{ACACA=1} => {MESH.D006528=1}	0.00810726535703149	0.981132075471698	1.46929281626791	52	26.1782084613567	MESH	Carcinoma, Hepatocellular	MESH	31	R-HSA-200425	Import of palmitoyl-CoA into the mitochondrial matrix	Homo sapiens	https://reactome.org/PathwayBrowser/#/R-HSA-200425	TAS	Fatty acid metabolism	Metabolism	Metabolism of lipids
ACACA	D006528	{ACACA=1} => {MESH.D006528=1}	0.00810726535703149	0.981132075471698	1.46929281626791	52	26.1782084613567	MESH	Carcinoma, Hepatocellular	MESH	31	R-HSA-3371599	Defective HLCS causes multiple carboxylase deficiency	Homo sapiens	https://reactome.org/PathwayBrowser/#/R-HSA-3371599	TAS	Defects in biotin (Btn) metabolism	Disease	Diseases of metabolism
ACACA	D006528	{ACACA=1} => {MESH.D006528=1}	0.00810726535703149	0.981132075471698	1.46929281626791	52	26.1782084613567	MESH	Carcinoma, Hepatocellular	MESH	31	R-HSA-2426168	Activation of gene expression by SREBF (SREBP)	Homo sapiens	https://reactome.org/PathwayBrowser/#/R-HSA-2426168	TAS	Regulation of cholesterol biosynthesis by SREBP (SREBF)	Metabolism	Metabolism of lipids
ACACA	D006528	{ACACA=1} => {MESH.D006528=1}	0.00810726535703149	0.981132075471698	1.46929281626791	52	26.1782084613567	MESH	Carcinoma, Hepatocellular	MESH	31	R-HSA-196780	Biotin transport and metabolism	Homo sapiens	https://reactome.org/PathwayBrowser/#/R-HSA-196780	TAS	Metabolism of water-soluble vitamins and cofactors	Metabolism	Metabolism of vitamins and cofactors
ACACA	D006528	{ACACA=1} => {MESH.D006528=1}	0.00810726535703149	0.981132075471698	1.46929281626791	52	26.1782084613567	MESH	Carcinoma, Hepatocellular	MESH	31	R-HSA-163765	ChREBP activates metabolic gene expression	Homo sapiens	https://reactome.org/PathwayBrowser/#/R-HSA-163765	TAS	Integration of energy metabolism	Metabolism	Integration of energy metabolism
ACACA	D006528	{ACACA=1} => {MESH.D006528=1}	0.00810726535703149	0.981132075471698	1.46929281626791	52	26.1782084613567	MESH	Carcinoma, Hepatocellular	MESH	31	R-HSA-75105	Fatty acyl-CoA biosynthesis	Homo sapiens	https://reactome.org/PathwayBrowser/#/R-HSA-75105	TAS	Fatty acid metabolism	Metabolism	Metabolism of lipids
ACE	D006528	{ACE=1} => {MESH.D006528=1}	0.00685999376364203	0.977777777777778	1.46426959296443	44	22.1089879688604	MESH	Carcinoma, Hepatocellular	MESH	1636	R-HSA-2022377	Metabolism of Angiotensinogen to Angiotensins	Homo sapiens	https://reactome.org/PathwayBrowser/#/R-HSA-2022377	TAS	Peptide hormone metabolism	Metabolism of proteins	Peptide hormone metabolism
ACTA2	D006528	{ACTA2=1} => {MESH.D006528=1}	0.0202681633925787	0.977443609022556	1.4637691590639	130	22.2040292158279	MESH	Carcinoma, Hepatocellular	MESH	59	R-HSA-445355	Smooth Muscle Contraction	Homo sapiens	https://reactome.org/PathwayBrowser/#/R-HSA-445355	TAS	Muscle contraction	Muscle contraction	Muscle contraction
ACTB	D006528	{ACTB=1} => {MESH.D006528=1}	0.00997817274711568	0.984615384615385	1.47450924046768	64	32.310974164494	MESH	Carcinoma, Hepatocellular	MESH	60	R-HSA-445095	Interaction between L1 and Ankyrins	Homo sapiens	https://reactome.org/PathwayBrowser/#/R-HSA-445095	TAS	L1CAM interactions	Developmental Biology	Axon guidance
ACTB	D006528	{ACTB=1} => {MESH.D006528=1}	0.00997817274711568	0.984615384615385	1.47450924046768	64	32.310974164494	MESH	Carcinoma, Hepatocellular	MESH	60	R-HSA-6802949	Signaling by RAS mutants	Homo sapiens	https://reactome.org/PathwayBrowser/#/R-HSA-6802949	TAS	Oncogenic MAPK signaling	Disease	Diseases of signal transduction
ACTB	D006528	{ACTB=1} => {MESH.D006528=1}	0.00997817274711568	0.984615384615385	1.47450924046768	64	32.310974164494	MESH	Carcinoma, Hepatocellular	MESH	60	R-HSA-5696394	DNA Damage Recognition in GG-NER	Homo sapiens	https://reactome.org/PathwayBrowser/#/R-HSA-5696394	TAS	Global Genome Nucleotide Excision Repair (GG-NER)	DNA Repair	Nucleotide Excision Repair
ACTB	D006528	{ACTB=1} => {MESH.D006528=1}	0.00997817274711568	0.984615384615385	1.47450924046768	64	32.310974164494	MESH	Carcinoma, Hepatocellular	MESH	60	R-HSA-5663213	RHO GTPases Activate WASPs and WAVEs	Homo sapiens	https://reactome.org/PathwayBrowser/#/R-HSA-5663213	IEA	RHO GTPase Effectors	Signal Transduction	Signaling by Rho GTPases
ACTB	D006528	{ACTB=1} => {MESH.D006528=1}	0.00997817274711568	0.984615384615385	1.47450924046768	64	32.310974164494	MESH	Carcinoma, Hepatocellular	MESH	60	R-HSA-3214847	HATs acetylate histones	Homo sapiens	https://reactome.org/PathwayBrowser/#/R-HSA-3214847	IEA	Chromatin modifying enzymes	Chromatin organization	Chromatin modifying enzymes
ACTB	D006528	{ACTB=1} => {MESH.D006528=1}	0.00997817274711568	0.984615384615385	1.47450924046768	64	32.310974164494	MESH	Carcinoma, Hepatocellular	MESH	60	R-HSA-6802952	Signaling by BRAF and RAF fusions	Homo sapiens	https://reactome.org/PathwayBrowser/#/R-HSA-6802952	TAS	Oncogenic MAPK signaling	Disease	Diseases of signal transduction
ACTB	D006528	{ACTB=1} => {MESH.D006528=1}	0.00997817274711568	0.984615384615385	1.47450924046768	64	32.310974164494	MESH	Carcinoma, Hepatocellular	MESH	60	R-HSA-6802946	Signaling by moderate kinase activity BRAF mutants	Homo sapiens	https://reactome.org/PathwayBrowser/#/R-HSA-6802946	TAS	Oncogenic MAPK signaling	Disease	Diseases of signal transduction
ACTB	D006528	{ACTB=1} => {MESH.D006528=1}	0.00997817274711568	0.984615384615385	1.47450924046768	64	32.310974164494	MESH	Carcinoma, Hepatocellular	MESH	60	R-HSA-4420097	VEGFA-VEGFR2 Pathway	Homo sapiens	https://reactome.org/PathwayBrowser/#/R-HSA-4420097	TAS	Signaling by VEGF	Signal Transduction	Signaling by Receptor Tyrosine Kinases
ACTB	D006528	{ACTB=1} => {MESH.D006528=1}	0.00997817274711568	0.984615384615385	1.47450924046768	64	32.310974164494	MESH	Carcinoma, Hepatocellular	MESH	60	R-HSA-5663213	RHO GTPases Activate WASPs and WAVEs	Homo sapiens	https://reactome.org/PathwayBrowser/#/R-HSA-5663213	TAS	RHO GTPase Effectors	Signal Transduction	Signaling by Rho GTPases
ACTB	D006528	{ACTB=1} => {MESH.D006528=1}	0.00997817274711568	0.984615384615385	1.47450924046768	64	32.310974164494	MESH	Carcinoma, Hepatocellular	MESH	60	R-HSA-5663220	RHO GTPases Activate Formins	Homo sapiens	https://reactome.org/PathwayBrowser/#/R-HSA-5663220	IEA	RHO GTPase Effectors	Signal Transduction	Signaling by Rho GTPases
ACTB	D006528	{ACTB=1} => {MESH.D006528=1}	0.00997817274711568	0.984615384615385	1.47450924046768	64	32.310974164494	MESH	Carcinoma, Hepatocellular	MESH	60	R-HSA-390450	Folding of actin by CCT/TriC	Homo sapiens	https://reactome.org/PathwayBrowser/#/R-HSA-390450	IEA	Cooperation of Prefoldin and TriC/CCT  in actin and tubulin folding	Metabolism of proteins	Protein folding
ACTB	D006528	{ACTB=1} => {MESH.D006528=1}	0.00997817274711568	0.984615384615385	1.47450924046768	64	32.310974164494	MESH	Carcinoma, Hepatocellular	MESH	60	R-HSA-5626467	RHO GTPases activate IQGAPs	Homo sapiens	https://reactome.org/PathwayBrowser/#/R-HSA-5626467	TAS	RHO GTPase Effectors	Signal Transduction	Signaling by Rho GTPases
ACTB	D006528	{ACTB=1} => {MESH.D006528=1}	0.00997817274711568	0.984615384615385	1.47450924046768	64	32.310974164494	MESH	Carcinoma, Hepatocellular	MESH	60	R-HSA-437239	Recycling pathway of L1	Homo sapiens	https://reactome.org/PathwayBrowser/#/R-HSA-437239	TAS	L1CAM interactions	Developmental Biology	Axon guidance
ACTB	D006528	{ACTB=1} => {MESH.D006528=1}	0.00997817274711568	0.984615384615385	1.47450924046768	64	32.310974164494	MESH	Carcinoma, Hepatocellular	MESH	60	R-HSA-418990	Adherens junctions interactions	Homo sapiens	https://reactome.org/PathwayBrowser/#/R-HSA-418990	IEA	Cell-cell junction organization	Cell-Cell communication	Cell junction organization
ACTB	D006528	{ACTB=1} => {MESH.D006528=1}	0.00997817274711568	0.984615384615385	1.47450924046768	64	32.310974164494	MESH	Carcinoma, Hepatocellular	MESH	60	R-HSA-2029482	Regulation of actin dynamics for phagocytic cup formation	Homo sapiens	https://reactome.org/PathwayBrowser/#/R-HSA-2029482	IEA	Fcgamma receptor (FCGR) dependent phagocytosis	Immune System	Innate Immune System
ACTB	D006528	{ACTB=1} => {MESH.D006528=1}	0.00997817274711568	0.984615384615385	1.47450924046768	64	32.310974164494	MESH	Carcinoma, Hepatocellular	MESH	60	R-HSA-437239	Recycling pathway of L1	Homo sapiens	https://reactome.org/PathwayBrowser/#/R-HSA-437239	IEA	L1CAM interactions	Developmental Biology	Axon guidance
ACTB	D006528	{ACTB=1} => {MESH.D006528=1}	0.00997817274711568	0.984615384615385	1.47450924046768	64	32.310974164494	MESH	Carcinoma, Hepatocellular	MESH	60	R-HSA-2029482	Regulation of actin dynamics for phagocytic cup formation	Homo sapiens	https://reactome.org/PathwayBrowser/#/R-HSA-2029482	TAS	Fcgamma receptor (FCGR) dependent phagocytosis	Immune System	Innate Immune System
ACTB	D006528	{ACTB=1} => {MESH.D006528=1}	0.00997817274711568	0.984615384615385	1.47450924046768	64	32.310974164494	MESH	Carcinoma, Hepatocellular	MESH	60	R-HSA-5250924	B-WICH complex positively regulates rRNA expression	Homo sapiens	https://reactome.org/PathwayBrowser/#/R-HSA-5250924	TAS	Positive epigenetic regulation of rRNA expression	Gene expression (Transcription)	Epigenetic regulation of gene expression
ACTB	D006528	{ACTB=1} => {MESH.D006528=1}	0.00997817274711568	0.984615384615385	1.47450924046768	64	32.310974164494	MESH	Carcinoma, Hepatocellular	MESH	60	R-HSA-5689603	UCH proteinases	Homo sapiens	https://reactome.org/PathwayBrowser/#/R-HSA-5689603	TAS	Deubiquitination	Metabolism of proteins	Post-translational protein modification
ACTB	D006528	{ACTB=1} => {MESH.D006528=1}	0.00997817274711568	0.984615384615385	1.47450924046768	64	32.310974164494	MESH	Carcinoma, Hepatocellular	MESH	60	R-HSA-446353	Cell-extracellular matrix interactions	Homo sapiens	https://reactome.org/PathwayBrowser/#/R-HSA-446353	TAS	Cell junction organization	Cell-Cell communication	Cell junction organization
ACTB	D006528	{ACTB=1} => {MESH.D006528=1}	0.00997817274711568	0.984615384615385	1.47450924046768	64	32.310974164494	MESH	Carcinoma, Hepatocellular	MESH	60	R-HSA-6802948	Signaling by high-kinase activity BRAF mutants	Homo sapiens	https://reactome.org/PathwayBrowser/#/R-HSA-6802948	TAS	Oncogenic MAPK signaling	Disease	Diseases of signal transduction
ACTB	D006528	{ACTB=1} => {MESH.D006528=1}	0.00997817274711568	0.984615384615385	1.47450924046768	64	32.310974164494	MESH	Carcinoma, Hepatocellular	MESH	60	R-HSA-8856828	Clathrin-mediated endocytosis	Homo sapiens	https://reactome.org/PathwayBrowser/#/R-HSA-8856828	TAS	Membrane Trafficking	Vesicle-mediated transport	Membrane Trafficking
ACTB	D006528	{ACTB=1} => {MESH.D006528=1}	0.00997817274711568	0.984615384615385	1.47450924046768	64	32.310974164494	MESH	Carcinoma, Hepatocellular	MESH	60	R-HSA-3928665	EPH-ephrin mediated repulsion of cells	Homo sapiens	https://reactome.org/PathwayBrowser/#/R-HSA-3928665	TAS	EPH-Ephrin signaling	Developmental Biology	Axon guidance
ACTB	D006528	{ACTB=1} => {MESH.D006528=1}	0.00997817274711568	0.984615384615385	1.47450924046768	64	32.310974164494	MESH	Carcinoma, Hepatocellular	MESH	60	R-HSA-6802955	Paradoxical activation of RAF signaling by kinase inactive BRAF	Homo sapiens	https://reactome.org/PathwayBrowser/#/R-HSA-6802955	TAS	Oncogenic MAPK signaling	Disease	Diseases of signal transduction
