Compound name,Cas number,Mechanism of action,Reference,
2-Nitrofluorene,607-57-8,Requires metabolic activation,https://www.sciencedirect.com/science/article/pii/S1383571815002673?via%3Dihub,
4-(Methylnitrosamino)-1-(3-pyridyl)-1-butanone ,64091-91-4,"Requires metabolic activation (P-450 (CYP2B1)-mediated alpha-hydroxylation), forms bulky adducts",https://www.sciencedirect.com/science/article/pii/S1383571815002673?via%3Dihub,
aflatoxin B1,1162-65-8,"Requires metabolic activation (CYP3A4, which is not highly expressed in rats compared with humans), forms various adducts",https://www.sciencedirect.com/science/article/pii/S1383571815002673?via%3Dihub,
Benzo[a]pyrene,50-32-8,"Requires metabolic activation (CYP1A1, CYP1B1, epoxide hydrolase), forms bulky adducts",https://www.sciencedirect.com/science/article/pii/S1383571815002673?via%3Dihub,
1-ethyl-1-nitrosourea ,759-73-9,Strong mutagen and clastogen (N7), Interacts directly with DNA,https://www.sciencedirect.com/science/article/pii/S1383571815002673?via%3Dihub
"2,4-diaminotoluene",95-80-7,Requires metabolic activation,https://www.sciencedirect.com/science/article/pii/S1383571815002673?via%3Dihub,
2-Acetylaminofluorene,53-96-3,Hydroxylated by CYP1A2 and then acetylated. Forms C8 adduct on guanine,https://www.sciencedirect.com/science/article/pii/S1383571815002673?via%3Dihub,
4-Nitroquinoline-N-oxide,56-57-5,"Alkylating agent, forms DNA adducts",https://www.sciencedirect.com/science/article/pii/S1383571815002673?via%3Dihub,
5-Fluorouracil,51-21-8,nucleoside analogue,https://www.sciencedirect.com/science/article/pii/S1383571815002673?via%3Dihub,
"7,12-Dimethylbenzanthracene",57-97-6,"Requires metabolic activation (CYP1B1), forms bulky adducts",https://www.sciencedirect.com/science/article/pii/S1383571815002673?via%3Dihub,
Azidothymidine,30516-87-1,Nucleoside analogue,https://www.sciencedirect.com/science/article/pii/S1383571815002673?via%3Dihub,
Bleomycin sulfate,9041-93-4, glycopeptide antibiotic used as anticancer drug,https://www.sciencedirect.com/science/article/pii/S1383571815002673?via%3Dihub,
Cadmium chloride,10108-64-2,"Inorganic carcinogen, heavy metal; inactivation of DNA-repair proteins by displacement of the Zn by Cd in zink-finger structures in DNA repair proteins such as XPA, inducer of genes responsible for cell cycle regulation, p53 inhibitor",https://www.sciencedirect.com/science/article/pii/S1383571815002673?via%3Dihub,
Camptothecin,2114454,Induces single strand breaks,https://www.sciencedirect.com/science/article/pii/S1383571815002673?via%3Dihub,
Chloramphenicol,56-75-7,,https://www.sciencedirect.com/science/article/pii/S1383571815002673?via%3Dihub,
