"","Parent.Name","lhs","Major","Minor"
"1","Formation of Fibrin Clot (Clotting Cascade)","A2M","Hemostasis","Formation of Fibrin Clot (Clotting Cascade)"
"2","Extracellular matrix organization","A2M","Extracellular matrix organization","Extracellular matrix organization"
"3","Signaling by Rho GTPases","A2M","Signal Transduction","Signaling by Rho GTPases"
"4","Response to elevated platelet cytosolic Ca2+","A2M","Hemostasis","Platelet activation, signaling and aggregation"
"5","Plasma lipoprotein assembly","A2M","Transport of small molecules","Plasma lipoprotein assembly, remodeling, and clearance"
"6","Abacavir transport and metabolism","ABCB1","Metabolism","Abacavir transport and metabolism"
"7","Transport of small molecules","ABCB1","Transport of small molecules","Transport of small molecules"
"8","Fatty acid metabolism","ACACA","Metabolism","Metabolism of lipids"
"9","Defects in biotin (Btn) metabolism","ACACA","Disease","Diseases of metabolism"
"10","Regulation of cholesterol biosynthesis by SREBP (SREBF)","ACACA","Metabolism","Metabolism of lipids"
"11","Metabolism of water-soluble vitamins and cofactors","ACACA","Metabolism","Metabolism of vitamins and cofactors"
"12","Integration of energy metabolism","ACACA","Metabolism","Integration of energy metabolism"
"13","Peptide hormone metabolism","ACE","Metabolism of proteins","Peptide hormone metabolism"
"14","Muscle contraction","ACTA2","Muscle contraction","Muscle contraction"
"15","L1CAM interactions","ACTB","Developmental Biology","Axon guidance"
"16","Oncogenic MAPK signaling","ACTB","Disease","Diseases of signal transduction"
"17","Global Genome Nucleotide Excision Repair (GG-NER)","ACTB","DNA Repair","Nucleotide Excision Repair"
"18","RHO GTPase Effectors","ACTB","Signal Transduction","Signaling by Rho GTPases"
"19","Chromatin modifying enzymes","ACTB","Chromatin organization","Chromatin modifying enzymes"
"20","Signaling by VEGF","ACTB","Signal Transduction","Signaling by Receptor Tyrosine Kinases"
"21","Cooperation of Prefoldin and TriC/CCT  in actin and tubulin folding","ACTB","Metabolism of proteins","Protein folding"
"22","Cell-cell junction organization","ACTB","Cell-Cell communication","Cell junction organization"
"23","Fcgamma receptor (FCGR) dependent phagocytosis","ACTB","Immune System","Innate Immune System"
